iter	Passed	Remaining
172	268	1285
173	271	1288
174	273	1289
175	274	1287
176	276	1285
177	279	1289
178	282	1294
179	284	1294
180	284	1288
181	286	1286
182	287	1285
183	289	1285
184	292	1286
185	293	1284
186	298	1296
187	300	1297
188	302	1296
189	304	1296
190	306	1298
191	308	1296
192	310	1298
193	312	1297
194	313	1294
195	315	1293
196	317	1295
197	319	1295
198	321	1294
199	323	1292
200	324	1290
201	325	1286
202	326	1283
203	327	1279
204	328	1274
205	329	1271
206	330	1266
207	331	1263
208	332	1258
209	334	1256
210	335	1255
211	336	1252
212	339	1254
213	341	1255
214	344	1258
215	373	1356
216	378	1367
217	380	1364
218	384	1370
219	386	1368
220	388	1369
221	389	1366
222	394	1375
223	408	1415
224	416	1434
225	418	1434
226	429	1462
227	432	1465
228	436	1469
229	447	1497
230	450	1498
231	460	1525
232	470	1547
233	475	1555
234	477	1553
235	478	1549
236	480	1546
237	482	1544
238	483	1540
239	484	1535
240	486	1531
241	488	1531
242	491	1530
243	493	1527
244	495	1526
245	496	1521
246	497	1516
247	498	1512
248	500	1510
249	503	1509
250	504	1505
251	505	1501
252	508	1501
253	510	1498
254	513	1499
255	518	1505
256	521	1507
257	523	1506
258	525	1502
259	526	1498
260	528	1495
261	530	1494
262	544	1526
263	548	1529
264	554	1538
265	556	1535
266	559	1535
267	560	1531
268	562	1528
269	563	1524
270	565	1520
271	566	1515
272	579	1543
273	584	1547
274	587	1547
275	592	1553
276	598	1561
277	606	1574
278	612	1582
279	615	1581
280	618	1582
281	626	1594
282	628	1593
283	630	1590
284	632	1586
285	634	1583
286	637	1582
287	638	1579
288	641	1578
289	643	1574
290	644	1571
291	649	1575
292	653	1576
293	655	1573
294	666	1593
295	677	1610
296	679	1608
297	682	1607
298	688	1614
299	694	1620
300	696	1616
301	704	1628
302	712	1638
303	715	1637
304	717	1635
305	719	1632
306	723	1632
307	728	1636
308	732	1637
309	738	1643
310	740	1639
311	741	1636
312	745	1635
313	746	1630
314	749	1629
315	753	1631
316	754	1626
317	755	1621
318	756	1615
319	758	1610
320	759	1605
321	759	1600
322	761	1595
323	762	1589
324	763	1585
325	765	1581
326	766	1578
327	767	1573
328	769	1568
329	769	1563
330	771	1558
331	772	1553
332	773	1549
333	774	1545
334	775	1540
335	777	1535
336	779	1534
337	781	1531
338	783	1526
339	784	1523
340	786	1519
341	788	1517
342	790	1513
343	791	1509
344	794	1507
345	796	1506
346	798	1502
347	799	1498
348	801	1494
349	802	1489
350	803	1485
351	805	1482
352	806	1478
353	807	1473
354	810	1471
355	812	1470
356	814	1466
357	815	1462
358	817	1460
359	821	1460
360	841	1488
361	848	1495
362	851	1493
363	855	1494
364	859	1495
365	862	1494
366	865	1492
367	867	1489
368	869	1486
369	871	1483
370	874	1482
371	879	1485
372	882	1484
373	893	1495
374	897	1495
375	902	1498
376	911	1506
377	916	1507
378	923	1513
379	927	1513
380	938	1524
381	942	1524
382	945	1523
383	948	1521
384	957	1528
385	959	1526
386	976	1546
387	987	1558
388	1002	1575
389	1012	1583
390	1020	1589
391	1023	1586
392	1025	1583
393	1029	1582
394	1031	1580
395	1037	1582
396	1042	1584
397	1045	1580
398	1053	1587
399	1056	1584
400	1058	1580
401	1061	1579
402	1070	1586
403	1078	1591
404	1089	1601
405	1094	1601
406	1100	1603
407	1105	1604
408	1107	1600
409	1111	1599
410	1115	1598
411	1124	1604
412	1127	1602
413	1137	1609
414	1139	1606
415	1149	1613
416	1152	1611
417	1161	1617
418	1164	1614
419	1173	1620
420	1179	1622
421	1189	1629
422	1192	1626
423	1195	1623
424	1205	1630
425	1215	1637
426	1227	1647
427	1241	1659
428	1243	1654
429	1245	1651
430	1250	1650
431	1252	1647
432	1254	1642
433	1264	1648
434	1268	1647
435	1273	1647
436	1275	1643
437	1277	1638
438	1279	1634
439	1280	1630
440	1283	1627
441	1285	1622
442	1286	1617
443	1288	1613
444	1290	1608
445	1291	1604
446	1294	1601
447	1296	1597
448	1306	1602
449	1308	1599
450	1312	1598
451	1315	1595
452	1317	1591
453	1321	1589
454	1323	1585
455	1332	1589
456	1334	1585
457	1338	1583
458	1341	1580
459	1349	1584
460	1358	1587
461	1361	1585
462	1366	1584
463	1380	1594
464	1389	1598
465	1401	1605
466	1409	1608
467	1451	1650
468	1461	1655
469	1493	1683
470	1506	1692
471	1521	1701
472	1525	1699
473	1534	1702
474	1540	1702
475	1549	1706
476	1558	1708
477	1561	1705
478	1563	1700
479	1565	1695
480	1567	1691
481	1568	1685
482	1569	1680
483	1573	1677
484	1575	1673
485	1583	1674
486	1584	1668
487	1585	1662
488	1585	1657
489	1589	1654
490	1590	1648
491	1592	1644
492	1597	1642
493	1598	1637
494	1599	1632
495	1600	1626
496	1604	1623
497	1605	1618
498	1608	1614
499	1609	1609
500	1611	1605
501	1612	1600
502	1613	1594
503	1614	1589
504	1618	1586
505	1620	1581
506	1625	1580
507	1630	1579
508	1632	1574
509	1635	1570
510	1635	1565
511	1641	1564
512	1648	1565
513	1650	1560
514	1654	1558
515	1657	1554
516	1659	1550
517	1664	1549
518	1666	1544
519	1668	1539
520	1671	1536
521	1674	1533
522	1678	1530
523	1681	1527
524	1684	1523
525	1686	1519
526	1690	1516
527	1692	1513
528	1696	1510
529	1712	1519
530	1715	1515
531	1720	1513
532	1723	1510
533	1729	1509
534	1731	1504
535	1734	1501
536	1736	1497
537	1741	1495
538	1748	1495
539	1757	1497
540	1766	1498
541	1767	1493
542	1769	1488
543	1770	1483
544	1777	1483
545	1780	1480
546	1782	1476
547	1785	1472
548	1789	1470
549	1793	1467
550	1794	1462
551	1796	1458
552	1799	1454
553	1801	1450
554	1804	1446
555	1806	1442
556	1807	1437
557	1809	1433
558	1812	1429
559	1813	1425
560	1816	1421
561	1817	1416
562	1819	1412
563	1820	1407
564	1821	1402
565	1822	1397
566	1823	1392
567	1824	1387
568	1827	1383
569	1828	1379
570	1829	1374
571	1831	1370
572	1832	1365
573	1833	1360
574	1834	1355
575	1835	1351
576	1836	1346
577	1837	1341
578	1838	1336
579	1839	1332
580	1844	1329
581	1846	1326
582	1847	1321
583	1850	1318
584	1851	1313
585	1852	1309
586	1853	1304
587	1854	1299
588	1856	1295
589	1857	1290
590	1858	1286
591	1860	1282
592	1861	1277
593	1863	1273
594	1864	1269
595	1866	1265
596	1867	1260
597	1868	1256
598	1869	1251
599	1873	1249
600	1876	1245
601	1877	1241
602	1879	1237
603	1881	1233
604	1882	1228
605	1884	1225
606	1885	1220
607	1887	1217
608	1889	1212
609	1890	1208
610	1892	1204
611	1894	1200
612	1896	1197
613	1897	1192
614	1898	1188
615	1900	1184
616	1903	1181
617	1904	1177
618	1906	1173
619	1907	1169
620	1908	1164
621	1910	1160
622	1911	1156
623	1913	1153
624	1915	1149
625	1917	1145
626	1918	1141
627	1919	1137
628	1921	1133
629	1922	1129
630	1924	1125
631	1926	1121
632	1927	1117
633	1928	1113
634	1930	1109
635	1932	1106
636	1934	1102
637	1935	1098
638	1937	1094
639	1940	1091
640	1942	1087
641	1945	1084
642	1947	1081
643	1949	1077
644	1951	1074
645	1954	1070
646	1955	1066
647	1956	1062
648	1959	1059
649	1960	1055
650	1963	1052
651	1966	1049
652	1969	1046
653	1970	1042
654	1975	1040
655	1978	1037
656	1983	1035
657	1989	1033
658	1993	1031
659	1998	1029
660	2000	1025
661	2004	1023
662	2010	1022
663	2014	1019
664	2019	1017
665	2027	1016
666	2035	1016
667	2043	1015
668	2047	1013
669	2050	1009
670	2052	1006
671	2056	1003
672	2061	1001
673	2063	998
674	2065	994
675	2068	991
676	2070	987
677	2072	984
678	2074	980
679	2075	976
680	2092	980
681	2100	979
682	2103	976
683	2107	973
684	2111	970
685	2122	971
686	2129	970
687	2142	971
688	2148	969
689	2150	966
690	2153	962
691	2155	959
692	2157	955
693	2160	952
694	2163	949
695	2164	945
696	2167	942
697	2171	939
698	2175	936
699	2178	933
700	2181	930
701	2183	926
702	2189	924
703	2198	924
704	2211	925
705	2211	921
706	2213	917
707	2215	913
708	2216	909
709	2217	905
710	2218	901
711	2220	898
712	2221	894
713	2223	890
714	2224	886
715	2225	882
716	2226	878
717	2228	875
718	2229	871
719	2231	867
720	2236	865
721	2239	862
722	2244	859
723	2245	855
724	2246	852
725	2247	848
726	2248	844
727	2249	840
728	2251	836
729	2252	833
730	2253	829
731	2254	825
732	2255	821
733	2261	819
734	2263	816
735	2265	812
736	2267	809
737	2270	806
738	2272	802
739	2274	799
740	2279	796
741	2281	793
742	2283	789
743	2285	786
744	2286	782
745	2288	779
746	2290	775
747	2292	772
748	2294	768
749	2297	765
750	2300	762
751	2302	759
752	2304	755
753	2306	752
754	2309	749
755	2310	745
756	2312	742
757	2314	738
758	2315	735
759	2317	731
760	2324	729
761	2329	727
762	2332	724
763	2336	721
764	2338	718
765	2340	714
766	2342	711
767	2345	708
768	2346	704
769	2350	702
770	2354	699
771	2356	695
772	2359	692
773	2361	689
774	2364	686
775	2368	683
776	2370	680
777	2373	677
778	2374	673
779	2379	671
780	2381	667
781	2382	664
782	2384	660
783	2388	657
784	2390	654
785	2393	651
786	2394	648
787	2396	644
788	2398	641
789	2399	637
790	2402	634
791	2404	631
792	2405	627
793	2407	624
794	2409	621
795	2411	617
796	2412	614
797	2414	611
798	2416	607
799	2417	604
800	2419	600
801	2421	597
802	2422	594
803	2424	590
804	2426	587
805	2427	584
806	2428	580
807	2431	577
808	2432	574
809	2434	570
810	2435	567
811	2437	564
812	2439	561
813	2440	557
814	2442	554
815	2444	551
816	2445	547
817	2446	544
818	2448	541
819	2450	538
820	2452	534
821	2454	531
822	2455	528
823	2456	524
824	2458	521
825	2461	518
826	2464	515
827	2465	512
828	2467	508
829	2468	505
830	2470	502
831	2472	499
832	2475	496
833	2477	493
834	2479	489
835	2481	486
836	2483	483
837	2486	480
838	2492	478
839	2496	475
840	2499	472
841	2504	469
842	2509	467
843	2513	464
844	2517	461
845	2520	458
846	2524	455
847	2527	453
848	2530	450
849	2536	447
850	2539	444
851	2542	441
852	2545	438
853	2551	436
854	2553	433
855	2556	429
856	2559	427
857	2561	423
858	2564	420
859	2566	417
860	2568	414
861	2571	411
862	2574	408
863	2577	405
864	2581	402
865	2583	399
866	2586	396
867	2589	393
868	2591	390
869	2595	387
870	2597	384
871	2598	381
872	2599	378
873	2601	375
874	2602	371
875	2604	368
876	2606	365
877	2607	362
878	2608	359
879	2610	355
880	2612	352
881	2613	349
882	2614	346
883	2615	343
884	2617	340
885	2622	337
886	2624	334
887	2632	332
888	2637	329
889	2641	326
890	2643	323
891	2646	320
892	2649	317
893	2652	314
894	2653	311
895	2657	308
896	2659	305
897	2660	302
898	2664	299
899	2666	296
900	2668	293
901	2672	290
902	2673	287
903	2675	284
904	2677	281
905	2679	278
906	2682	275
907	2688	272
908	2690	269
909	2695	266
910	2699	263
911	2701	260
912	2702	257
913	2706	254
914	2709	251
915	2714	248
916	2718	246
917	2722	243
918	2724	240
919	2727	237
920	2728	234
921	2730	231
922	2732	227
923	2733	224
924	2735	221
925	2736	218
926	2738	215
927	2740	212
928	2742	209
929	2743	206
930	2744	203
931	2747	200
932	2750	197
933	2753	194
934	2754	191
935	2759	188
936	2761	185
937	2762	182
938	2766	179
939	2771	176
940	2772	173
941	2774	170
942	2775	167
943	2777	164
944	2778	161
945	2780	158
946	2782	155
947	2784	152
948	2785	149
949	2787	146
950	2789	143
951	2791	140
952	2793	137
953	2795	134
954	2798	131
955	2799	128
956	2801	125
957	2802	122
958	2804	119
959	2806	116
960	2807	113
961	2816	111
962	2820	108
963	2826	105
964	2828	102
965	2832	99
966	2835	96
967	2838	93
968	2841	90
969	2843	87
970	2844	84
971	2846	81
972	2847	79
973	2849	76
974	2851	73
975	2854	70
976	2856	67
977	2857	64
978	2858	61
979	2860	58
980	2862	55
981	2863	52
982	2866	49
983	2869	46
984	2870	43
985	2872	40
986	2873	37
987	2875	34
988	2878	32
989	2880	29
990	2881	26
991	2886	23
992	2889	20
993	2891	17
994	2893	14
995	2895	11
996	2896	8
997	2898	5
998	2899	2
999	2900	0
